address,postcode,Rental price,Offered since,Status,Available,Interior,Living area,Type of house,Type of construction,Number of rooms,Number of bedrooms,Number of bathrooms,Facilities,Balcony,Garden,Energy rating,url,Upkeep,Volume,Year of construction,Number of floors,Present,Rental agreement,Deposit,Location,Insulation,Heating,Hot water,Shed/Storeroom,Type of parking,Smoking allowed,Pets allowed,Target audience,Income requirement,Maximum number of residents,Duration,Specifics,Service costs,Plot area,Garden description,Description,Central heating boiler
Apartment Monarchvlinderlaan in Utrecht,3544 DC (Parkwijk-Noord),"€1,295 per month",2 weeks,For rent,Immediately,Furnished,56 m²,"Downstairs apartment, Apartment",Existing building,3,1,1,"Shower
 Toilet",,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/7fc58433/monarchvlinderlaan,Good,,,2,No,Temporary rental,"€2,590",,,,,Not present,,No,No,Working,,2,,,,,,,
Apartment Catharijnesingel in Utrecht,3511 GM (Hooch Boulandt),"€1,600 per month

Excludes: Service costs",3 weeks,For rent,Immediately,Upholstered or furnished,32 m²,Upstairs apartment,Existing building,2,1,,,Not present,Not present,D,https://www.pararius.com/apartment-for-rent/utrecht/e307977c/catharijnesingel,Excellent,95 m³,1920,1,No,,,,,,,,,,,,,,,,€250,,,,
Apartment Vleutenseweg in Utrecht,3532 HL (Lombok-Oost),"€1,650 per month",18-10-2022,For rent,From 26-10-2022,Furnished,47 m²,Gallery flat,Existing building,2,1,,"Shower
 Toilet",Present,Present,,https://www.pararius.com/apartment-for-rent/utrecht/f8fe35e2/vleutenseweg,,,,,No,,"€1,650","In the city centre
 Unobstructed view",,,,Not present,On private land,,No,,,,,,,,,,
Apartment Zambesidreef 139 in Utrecht,3564 CB (Zambesidreef en omgeving),"€1,230 per month",6 weeks,For rent,Immediately,Shell,88 m²,Gallery flat,Existing building,3,2,1,Lift,Present,Not present,A+,https://www.pararius.com/apartment-for-rent/utrecht/6d03c0f1/zambesidreef,,,,,,,,,,,,,,,,,,,,,,,,,
Studio Bemuurde Weerd O.Z. 33 in Utrecht,3514 AP (Lauwerecht),"€1,500 per month

Includes: Electricity, Gas, Internet, Water",17-10-2022,For rent,From 01-11-2022,Upholstered or furnished,55 m²,"Studio, Apartment",Existing building,1,1,1,,Present,Present (60 m²),,https://www.pararius.com/studio-for-rent/utrecht/fc24df83/bemuurde-weerd-o-z,Good,150 m³,1820,1,No,Temporary rental,"€3,000",In the city centre,"Double glazing, Floor insulation, Fully insulated, Roof insulation, Wall insulation",Central heating boiler,Gas boiler,Not present,Public,No,No,,,,,,,,,,
Apartment Auriollaan in Utrecht,3527 ES (Kanaleneiland-Noord),"€1,575 per month",2 weeks,Under option,From 01-11-2022,Upholstered,75 m²,"Mezzanine, Apartment",Existing building,4,3,1,Toilet,Present,Not present,B,https://www.pararius.com/apartment-for-rent/utrecht/44a0c9b1/auriollaan,Good,185 m³,2016,1,No,Temporary rental,"€3,150","On a quiet road
 in a residential area",,,,Not present,Public,No,No,Working,"€4,725",,,,,,,,
Apartment Kromme Nieuwegracht in Utrecht,"3512 HC (Domplein, Neude, Janskerkhof)","€1,695 per month",2 months,For rent,From 01-12-2022,Upholstered,100 m²,"Penthouse, Apartment",Existing building,3,2,1,Laundry room,Present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/36e48ff9/kromme-nieuwegracht,Good,250 m³,1900,1,No,Temporary rental,"€3,390","On a waterway
 By the water
 In the city centre",,,,Not present,,No,No,Working,"€5,085",,,,,,,,
Apartment Nieuwegracht in Utrecht,3512 LV (Nieuwegracht-Oost),"€1,350 per month",20-10-2022,For rent,From 15-11-2022,Furnished,45 m²,"Downstairs apartment, Apartment",Existing building,2,1,1,,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/a15db453/nieuwegracht,Good,100 m³,1600,1,No,Temporary rental,"€2,700","By the water
 In the city centre",,,,Not present,,,No,Working,"€4,050",1,,,,,,,
Apartment Westerdijk 4 0116 in Utrecht,3513 EW (Pijlsweerd-Zuid),€895 per month,14-10-2022,For rent,From 01-11-2022,Upholstered,28 m²,Gallery flat,Existing building,1,,1,Lift,Not present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/7e953747/westerdijk,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Pieterskerkhof 23 L in Utrecht,"3512 JS (Domplein, Neude, Janskerkhof)","€1,750 per month

Excludes: Service costs",21-10-2022,For rent,From 01-11-2022,Upholstered,63 m²,"Downstairs apartment, Apartment",Existing building,2,1,1,"Cable TV
 Mechanical ventilation
 Shower
 Toilet
 Laundry room",Not present,Not present,A+++,https://www.pararius.com/apartment-for-rent/utrecht/70eb0c4b/pieterskerkhof,Excellent,190 m³,2022,1,No,,,In the city centre,"Double glazing, Floor insulation, Fully insulated, Roof insulation, Wall insulation",District heating,Central heating,Present,Paid,,,,,,,Monumental building,€100,,,Box,
Apartment Koekoeksplein in Utrecht,3514 TT (Vogelenbuurt),"€1,515 per month",13-10-2022,For rent,From 01-11-2022,Upholstered,45 m²,"Downstairs apartment, Apartment",Existing building,3,2,1,"Shower
 Toilet
 Laundry room",,Present (10 m²),B,https://www.pararius.com/apartment-for-rent/utrecht/b686dd1f/koekoeksplein,Excellent,115 m³,1900,1,No,Temporary rental,"€3,030",in a residential area,,,,Not present,Paid,No,No,Working,,2,,,,,,,
Apartment Gruttersdijk 27 M in Utrecht,3514 BH (Vogelenbuurt),"€1,400 per month",2 weeks,For rent,From 01-11-2022,Upholstered or furnished,51 m²,Apartment,Existing building,2,1,1,Toilet,Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/a03a96cc/gruttersdijk,,,,,No,Temporary rental,,,,,,Not present,,,,,,,"Minimum of 12, maximum of 24 months",,,,,,
Apartment Bloemstraat in Utrecht,3581 WE (Oudwijk),"€1,295 per month",3 weeks,Rented under option,From 01-11-2022,Upholstered,45 m²,Downstairs apartment,Existing building,2,1,1,,Not present,"Present (12 m², located on the north-east)",D,https://www.pararius.com/apartment-for-rent/utrecht/dff215e0/bloemstraat,,,,,No,Unlimited period,,,,,,Not present,,,,,,,Minimum of 12 months,,,,,,
Studio Vleutenseweg in Utrecht,"3532 HH (Nieuw Engeland, Th. a. Kempisplantsoen en omgeving)","€1,295 per month

Includes: Electricity, Gas, Internet, Service costs, Water",17-10-2022,For rent,Immediately,Upholstered,20 m²,Studio,Existing building,1,,,,,Not present,,https://www.pararius.com/studio-for-rent/utrecht/a02ba2e8/vleutenseweg,,,,1,No,,"€2,590","In the city centre
 in a residential area",,,,Not present,,No,No,,,1,,,,,,,
Studio Limapad in Utrecht,3584 SR (Utrecht Science Park),€520 per month,3+ months,For rent,In consultation,Furnished,22 m²,Studio,Existing building,2,1,2,Shower,,Not present,,https://www.pararius.com/studio-for-rent/utrecht/48156611/limapad,,,2020,1,No,,,,,,,Not present,,,,,,,,,,,,,
Apartment Wisselstraat in Utrecht,3551 WG (2e Daalsebuurt en omgeving),"€1,600 per month",7 weeks,For rent,Immediately,,47 m²,Upstairs apartment,Existing building,2,1,,,Not present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/66348f0e/wisselstraat,Good,156 m³,2021-2030,1,No,,,,,,,,,,,,,,,,,,,,
Apartment Maliestraat 1 5 in Utrecht,3581 SH (Buiten Wittevrouwen),"€1,745 per month",15-10-2022,Rented under option,From 15-11-2022,Furnished,60 m²,"Upstairs apartment, Apartment",Existing building,2,1,1,"Mechanical ventilation
 Shower
 Toilet",Not present,Present,,https://www.pararius.com/apartment-for-rent/utrecht/f97bb17d/maliestraat,Good,180 m³,1906,1,,,"€3,490","in a residential area
 Near public transportation",,,,,,,,,,,,,€150,,,,
Apartment Domplein in Utrecht,"3512 JC (Domplein, Neude, Janskerkhof)",€975 per month,09-10-2022,Under option,From 01-11-2022,Furnished,22 m²,Upstairs apartment,Existing building,1,1,,French balcony,Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/3303ef9a/domplein,Good,60 m³,1900,1,No,,,,,,Central heating,,,,,,,,,Monumental building,,,,,
Apartment Breedstraat in Utrecht,3512 TX (Breedstraat en Plompetorengracht en omgeving),"€1,400 per month",2 weeks,For rent,Immediately,,48 m²,Downstairs apartment,Existing building,2,1,,,Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/ab97c227/breedstraat,Good,300 m³,1993,1,No,,,,,,,,,,,,,,,,,,,,
Apartment Kromme Nieuwegracht in Utrecht,3512 HL (Nieuwegracht-Oost),"€1,650 per month",13-10-2022,Under option,From 01-11-2022,Upholstered,60 m²,"Upstairs apartment, Apartment",Existing building,2,1,,,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/df2a0d25/kromme-nieuwegracht,Good,150 m³,1450,1,No,Temporary rental,"€3,300","On a quiet road
 On a waterway
 In the city centre
 Unobstructed view",,,,Not present,Public,No,No,Working,"€4,950",,,Monumental building,,,,,
House Bollenhofsestraat in Utrecht,3572 VH (Wittevrouwen),"€1,500 per month",14-10-2022,For rent,In consultation,,72 m²,"Corner house, Family home",Existing building,3,2,1,"Shower
 Toilet",Not present,Not present,,https://www.pararius.com/house-for-rent/utrecht/49579329/bollenhofsestraat,Good,200 m³,1906,3,No,,,"On a quiet road
 in a residential area",Fully insulated,Central heating boiler,Central heating boiler,,Public,,,,,,,,,64 m²,,,
House Abstederdijk in Utrecht,"3582 BE (Abstede, Tolsteegsingel e.o.)","€1,600 per month",2 weeks,Under option,In consultation,,87 m²,"Corner house, Family home",Existing building,4,2,2,"Shower
 Storage space
 Toilet",Not present,Present (45 m²),,https://www.pararius.com/house-for-rent/utrecht/405afd42/abstederdijk,Reasonable,260 m³,Before 1906,3,No,,,"On a quiet road
 in a residential area","Double glazing, Roof insulation",Central heating boiler,Central heating boiler,Present,Public,,,,,,,,,89 m²,achtertuin,Aangebouwd hout,
House Korenbloemstraat in Utrecht,"3551 GM (Egelantierstraat, Mariëndaalstraat e.o.)","€1,750 per month",21-10-2022,For rent,From 01-12-2022,Upholstered,85 m²,"Corner house, Family home",Existing building,4,2,2,"Roof terrace
 Shower
 Storage space",,Present (16 m²),F,https://www.pararius.com/house-for-rent/utrecht/1f1f3263/korenbloemstraat,Good,212 m³,1906,2,No,Unlimited period,"€1,750","At a park
 in a residential area",,,,Not present,Paid,No,No,Working,"€5,250",2,,,,,,,
Apartment Hebe Kohlbruggeweg in Utrecht,3527 MD (Transwijk-Noord),"€1,500 per month",19-10-2022,For rent,Immediately,Upholstered,67 m²,"Upstairs apartment, Apartment",Existing building,2,1,1,,Not present,,A++,https://www.pararius.com/apartment-for-rent/utrecht/5baa9b49/hebe-kohlbruggeweg,,200 m³,2022,1,,,"€3,000",,,,,,,,,,,,,,,,,,
Apartment Twellosebeeklaan in Utrecht,3521 DR (Dichterswijk),"€1,525 per month

Excludes: Service costs",7 weeks,For rent,Immediately,,80 m²,Gallery flat,New development,3,2,,,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/d176be81/twellosebeeklaan,Excellent,230 m³,2021,1,Yes,,,,,,,,,,,,,,,,,,,Parkeerkelder,
House Piet Heinstraat 9 in Utrecht,"3582 BX (Abstede, Tolsteegsingel e.o.)","€1,675 per month",15-10-2022,For rent,In consultation,Upholstered,70 m²,"Mid-terrace house, Family home",Existing building,2,1,,Cable TV,Not present,"Present (50 m², located on the east)",C,https://www.pararius.com/house-for-rent/utrecht/bd31e1fb/piet-heinstraat,Good,271 m³,1906,2,No,,,"On a quiet road
 in a residential area
 Unobstructed view",Double glazing,Central heating boiler,Central heating boiler,,Public,,,,,,,Monumental building,,93 m²,achtertuin,,
Apartment Twellosebeeklaan in Utrecht,3521 DR (Dichterswijk),"€1,500 per month

Excludes: Service costs",7 weeks,For rent,Immediately,,81 m²,"Gallery flat, Apartment",New development,3,2,,,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/90eb4902/twellosebeeklaan,Excellent,230 m³,2021,1,Yes,,,,,,,,,,,,,,,,,,,Parkeerkelder,
Apartment Obrechtstraat 4 in Utrecht,3572 EE (Wittevrouwen),"€1,495 per month",13-10-2022,Under option,From 01-11-2022,Shell,70 m²,"Downstairs apartment, Apartment",Existing building,2,1,1,"Mechanical ventilation
 Shower
 Toilet",Not present,Present (located on the south-east),B,https://www.pararius.com/apartment-for-rent/utrecht/5bb3b77a/obrechtstraat,Excellent,196 m³,1928,1,Yes,,"€2,990","in a residential area
 Near public transportation",,,,,Paid,,,,,,,,,,achtertuin,,
Apartment Adriaan van Bergenstraat in Utrecht,3554 VE (Schaakbuurt en omgeving),"€1,600 per month

Includes: Service costs",19-10-2022,For rent,From 15-11-2022,Upholstered,81 m²,"Gallery flat, Apartment",Existing building,3,2,1,,Present,,A,https://www.pararius.com/apartment-for-rent/utrecht/558fd8b4/adriaan-van-bergenstraat,,,2002,,Yes,,,,,,,,,,,,,,,,,,,,
Apartment Wijde Begijnestraat in Utrecht,3512 AW (Breedstraat en Plompetorengracht en omgeving),"€1,400 per month

Includes: Service costs",11-10-2022,For rent,Immediately,Upholstered,60 m²,"Upstairs apartment, Apartment",Existing building,2,1,1,"Shower
 Toilet",,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/f2a2f833/wijde-begijnestraat,Good,,,1,No,,"€2,800",In the city centre,,,,Not present,,No,No,,,2,,Monumental building,,,,,
House Singelstraat in Utrecht,3513 BM (Pijlsweerd-Zuid),"€1,695 per month

Includes: Service costs",14-10-2022,For rent,Immediately,Furnished,70 m²,"Mid-terrace house, Family home",Existing building,2,1,1,,,,D,https://www.pararius.com/house-for-rent/utrecht/96db807c/singelstraat,,,1910,,No,,,,,,,,,,,,,,,,,,,,
Apartment Tafelbergdreef 192 in Utrecht,3564 AG (Zambesidreef en omgeving),"€1,325 per month",21-10-2022,For rent,From 18-11-2022,Upholstered,84 m²,Gallery flat,Existing building,4,3,1,Lift,Present,Not present,F,https://www.pararius.com/apartment-for-rent/utrecht/43bba35a/tafelbergdreef,,,1967,,Yes,,,,,,,,,,,,,,Minimum of 12 months,,,,,,
Apartment Weerdsingel O.Z. in Utrecht,3514 AG (Vogelenbuurt),"€1,500 per month",21-10-2022,For rent,From 01-11-2022,Furnished,75 m²,Gallery flat,Existing building,2,1,1,,,,,https://www.pararius.com/apartment-for-rent/utrecht/c19da239/weerdsingel-o-z,,,1880,,,,,,,,,,,,,,,,,,,,,,
Apartment Zadelstraat 5 in Utrecht,"3511 LR (Lange Elisabethstraat, Mariaplaats en omgeving)","€1,350 per month",2 weeks,Rented under option,From 01-11-2022,Shell,62 m²,Apartment,Existing building,2,1,1,Shower,Not present,Not present,F,https://www.pararius.com/apartment-for-rent/utrecht/689f51e3/zadelstraat,,,,,No,,,,,,,Not present,,,,,,,,,,,,,
Apartment Hekelsteeg 10 A in Utrecht,"3511 AK (Lange Elisabethstraat, Mariaplaats en omgeving)","€1,325 per month",20-10-2022,For rent,Immediately,,51 m²,"Mezzanine, Apartment",Existing building,2,1,1,,Not present,Present,D,https://www.pararius.com/apartment-for-rent/utrecht/cfa3e7bc/hekelsteeg,Excellent,153 m³,1913,1,,,"€1,350",In the city centre,,,,,,,,,,,,,,,,,
Apartment Smakkelaarsveld 23 in Utrecht,3511 EA (Hoog-Catharijne NS en Jaarbeurs),"€1,450 per month",18-10-2022,Under option,Immediately,,50 m²,"Mezzanine, Apartment",Existing building,2,1,1,"Shower
 Storage space
 Toilet",Present,,C,https://www.pararius.com/apartment-for-rent/utrecht/2f0b764d/smakkelaarsveld,,150 m³,1975,1,,,"€1,450",,,,,,,,,,,,,,,,,,
Apartment Van Weerden Poelmanlaan 2 in Utrecht,3527 KN (Transwijk-Noord),"€1,350 per month",3 weeks,For rent,From 29-10-2022,Upholstered,92 m²,Gallery flat,Existing building,3,2,1,Lift,Present,Not present,G,https://www.pararius.com/apartment-for-rent/utrecht/143bfcc8/van-weerden-poelmanlaan,,,1968,,Yes,,,,,,,,,,,,,,Minimum of 12 months,,,,,,
Apartment Burgemeester Reigerstraat in Utrecht,3581 KW (Oudwijk),"€1,550 per month",14-10-2022,For rent,Immediately,Furnished,58 m²,"Upstairs apartment, Apartment",Existing building,2,1,1,Mechanical ventilation,Present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/49495a3e/burgemeester-reigerstraat,Good,229 m³,1900,1,No,Temporary rental,"€1,745",In the city centre,"Fully insulated, high-efficiency glass",Central heating boiler,Central heating boiler,Not present,Public,No,No,Working,"€5,100",2,,,,,,,"Remeha HR (Gas, from 2022, Property)"
Apartment Westerdijk 4 1702 in Utrecht,3513 EW (Pijlsweerd-Zuid),"€1,195 per month",3 weeks,For rent,From 01-11-2022,Upholstered,44 m²,Gallery flat,Existing building,2,1,1,Lift,Not present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/48d7bb7a/westerdijk,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Pablo Picassostraat in Utrecht,3544 NX (Het Zand-West),"€1,295 per month",3 weeks,For rent,In consultation,,88 m²,Staircase-accessed flat,New development,3,2,,,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/e97b0e8d/pablo-picassostraat,Good,228 m³,2022,1,Yes,,,,,,,,,,,,,,,,€45,,,Parkeerplaats,
Apartment Loeff Berchmakerstraat 11 1 in Utrecht,3512 TC (Breedstraat en Plompetorengracht en omgeving),"€1,050 per month

Includes: Gas, Water, Electricity",09-10-2022,For rent,Immediately,Shell,35 m²,Apartment,Existing building,2,1,1,,Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/6d8a76f8/loeff-berchmakerstraat,,,,,No,Unlimited period,,,,,,Not present,,,,,,,Minimum of 1 months,,,,,,
Apartment Pieterskerkhof 23 B in Utrecht,"3512 JS (Domplein, Neude, Janskerkhof)","€1,675 per month

Excludes: Service costs",21-10-2022,For rent,From 01-11-2022,Upholstered,66 m²,"Maisonette, Apartment",Existing building,2,1,1,"Cable TV
 Mechanical ventilation
 Shower
 Toilet
 Laundry room",Not present,Not present,A++,https://www.pararius.com/apartment-for-rent/utrecht/a6659750/pieterskerkhof,Excellent,220 m³,2022,1,No,,,In the city centre,"Double glazing, Floor insulation, Fully insulated, Roof insulation, Wall insulation",District heating,Central heating,Present,Paid,,,,,,,Monumental building,€100,,,Box,
Apartment Nachtegaalstraat in Utrecht,3581 AB (Buiten Wittevrouwen),"€1,395 per month",18-10-2022,For rent,From 01-11-2022,Upholstered,65 m²,"Upstairs apartment, Apartment",Existing building,2,1,1,,Not present,,,https://www.pararius.com/apartment-for-rent/utrecht/0343c454/nachtegaalstraat,,180 m³,Before 1906,1,,,"€3,290",Near public transportation,,,,,,,,,,,,,,,,,
House Wijde Doelen in Utrecht,3512 XN (Lange Nieuwstraat en omgeving),"€1,495 per month",18-10-2022,For rent,From 01-11-2022,Upholstered,84 m²,"Mid-terrace house, Family home",Existing building,3,2,1,,,Not present,E,https://www.pararius.com/house-for-rent/utrecht/603821fd/wijde-doelen,Good,210 m³,1900,2,No,Temporary rental,"€2,990","In the city centre
 in a residential area",,,,Not present,,No,No,Working,"€4,485",,,,,,,,
