,address,postcode,Rental price,Offered since,Status,Available,Interior,Living area,Type of house,Type of construction,Number of rooms,Number of bedrooms,Number of bathrooms,Facilities,Balcony,Garden,Energy rating,url,Upkeep,Volume,Year of construction,Number of floors,Present,Rental agreement,Deposit,Location,Insulation,Heating,Hot water,Shed/Storeroom,Type of parking,Smoking allowed,Pets allowed,Target audience,Income requirement,Maximum number of residents,Duration,Specifics,Service costs,Plot area,Garden description,Description,Central heating boiler,region,rental_price,service_costs,living_area,rooms,bedrooms,bathrooms,energielabel,balcony,garden_size,garden
10,Apartment Trumanlaan in Utrecht,3527 BM ,"€1,530 per month

Includes: Service costs",7 weeks,For rent,Immediately,Furnished,75 m²,"Upstairs apartment, Apartment",Existing building,3,2.0,2.0,Laundry room,Present,Not present,B,https://www.pararius.com/apartment-for-rent/utrecht/32db0281/trumanlaan,,,1960,1,No,Unlimited period,€2000,in a residential area,,,,Not present,Public,,,,,,,,,,,,,Kanaleneiland-Noord,1530,,75,3,2.0,2.0,B,True,,False
11,Apartment Karel Doormanlaan in Utrecht,3572 NA ,"€1,750 per month",19-10-2022,For rent,From 01-12-2022,Furnished,100 m²,"Upstairs apartment, Apartment",Existing building,3,2.0,1.0,"Lift
 Toilet",Present,Not present,E,https://www.pararius.com/apartment-for-rent/utrecht/bec8caaf/karel-doormanlaan,Good,250 m³,1965,1,No,Unlimited period,€3500,in a residential area,,,,Present,,No,No,Working,€5250,,,,,,,,,"Huizingalaan, K. Doormanlaan en omgeving",1750,,100,3,2.0,1.0,E,True,,False
12,Apartment Peltlaan in Utrecht,3527 EB ,"€1,300 per month",2 weeks,For rent,Immediately,Furnished,72 m²,"Upstairs apartment, Apartment",Existing building,3,2.0,1.0,,,Not present,E,https://www.pararius.com/apartment-for-rent/utrecht/83bcf533/peltlaan,Good,,1959,1,No,Temporary rental,€3500,in a residential area,,,,Not present,Public,No,No,,,,,,,,,,,Kanaleneiland-Noord,1300,,72,3,2.0,1.0,E,False,,False
13,Studio Oudegracht in Utrecht,3511 AB ,€730 per month,20-10-2022,For rent,Immediately,Furnished,24 m²,Studio,Existing building,1,1.0,1.0,,,Present,,https://www.pararius.com/studio-for-rent/utrecht/26e0fcfb/oudegracht,Excellent,75 m³,1818,1,No,Temporary rental,€1500,In the city centre,,,,Not present,,No,No,Working,,1,,Monumental building,€315,,,,,Wijk C,730,315,24,1,1.0,1.0,,False,,True
14,Apartment Pal Maleterstraat 47 in Utrecht,3573 PG ,"€1,325 per month",2 months,For rent,Immediately,Shell,76 m²,Gallery flat,Existing building,2,1.0,1.0,Lift,Not present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/3b1d1c8e/pal-maleterstraat,,,,,,,,,,,,,,,,,,,,,,,,,,Voordorp en Voorveldsepolder,1325,,76,2,1.0,1.0,A,False,,False
15,Apartment Bemuurde Weerd O.Z. 50 in Utrecht,3514 AS ,"€1,295 per month",8 weeks,For rent,Immediately,Upholstered,53 m²,Gallery flat,Existing building,2,1.0,1.0,,Not present,Not present,D,https://www.pararius.com/apartment-for-rent/utrecht/ce7bd98e/bemuurde-weerd-o-z,,,,,,,,,,,,,,,,,,,,,,,,,,Lauwerecht,1295,,53,2,1.0,1.0,D,False,,False
16,Apartment Van Heuven Goedhartplein 718 in Utrecht,3527 DZ ,"€1,105 per month",13-10-2022,For rent,From 01-11-2022,Upholstered,54 m²,Gallery flat,Existing building,2,1.0,1.0,Lift,Not present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/8a2351ec/van-heuven-goedhartplein,,,,,,,,,,,,,,,,,,,,,,,,,,Kanaleneiland-Noord,1105,,54,2,1.0,1.0,A,False,,False
17,Apartment Europaplein 859 in Utrecht,3526 WS ,"€1,150 per month",11-10-2022,For rent,From 14-11-2022,Shell,45 m²,Gallery flat,Existing building,2,1.0,1.0,Lift,Not present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/432542fa/europaplein,,,2007,,Yes,,,,,,,,,,,,,,Minimum of 12 months,,,,,,,Transwijk-Zuid,1150,,45,2,1.0,1.0,A,False,,False
18,Apartment Gruttersdijk 28 H in Utrecht,3514 BH ,"€1,500 per month",2 weeks,For rent,Immediately,Furnished,60 m²,Apartment,Existing building,2,1.0,1.0,"Shower
 Bath
 Toilet",Present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/00ff528d/gruttersdijk,,,,,No,Temporary rental,,,,,,Not present,,,,,,,"Minimum of 12, maximum of 24 months",,,,,,,Vogelenbuurt,1500,,60,2,1.0,1.0,,True,,False
19,Apartment Twijnstraat in Utrecht,3511 ZL ,"€1,150 per month

Includes: Electricity, Gas, Water",2 weeks,For rent,In consultation,Upholstered,31 m²,"Upstairs apartment, Apartment",Existing building,2,1.0,,,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/40a9c93d/twijnstraat,Good,60 m³,1950,1,No,Temporary rental,€1150,In the city centre,,,,Not present,,,No,,,,,,,,,,,Lange Nieuwstraat en omgeving,1150,,31,2,1.0,,,False,,False
20,Apartment Monarchvlinderlaan in Utrecht,3544 DC ,"€1,295 per month",2 weeks,For rent,Immediately,Furnished,56 m²,"Downstairs apartment, Apartment",Existing building,3,1.0,1.0,"Shower
 Toilet",,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/7fc58433/monarchvlinderlaan,Good,,,2,No,Temporary rental,€2590,,,,,Not present,,No,No,Working,,2,,,,,,,,Parkwijk-Noord,1295,,56,3,1.0,1.0,A,False,,False
21,Apartment Catharijnesingel in Utrecht,3511 GM ,"€1,600 per month

Excludes: Service costs",3 weeks,For rent,Immediately,Upholstered or furnished,32 m²,Upstairs apartment,Existing building,2,1.0,,,Not present,Not present,D,https://www.pararius.com/apartment-for-rent/utrecht/e307977c/catharijnesingel,Excellent,95 m³,1920,1,No,,,,,,,,,,,,,,,,€250,,,,,Hooch Boulandt,1600,250,32,2,1.0,,D,False,,False
22,Apartment Vleutenseweg in Utrecht,3532 HL ,"€1,650 per month",18-10-2022,For rent,From 26-10-2022,Furnished,47 m²,Gallery flat,Existing building,2,1.0,,"Shower
 Toilet",Present,Present,,https://www.pararius.com/apartment-for-rent/utrecht/f8fe35e2/vleutenseweg,,,,,No,,€1650,"In the city centre
 Unobstructed view",,,,Not present,On private land,,No,,,,,,,,,,,Lombok-Oost,1650,,47,2,1.0,,,True,,True
23,Apartment Zambesidreef 139 in Utrecht,3564 CB ,"€1,230 per month",6 weeks,For rent,Immediately,Shell,88 m²,Gallery flat,Existing building,3,2.0,1.0,Lift,Present,Not present,A+,https://www.pararius.com/apartment-for-rent/utrecht/6d03c0f1/zambesidreef,,,,,,,,,,,,,,,,,,,,,,,,,,Zambesidreef en omgeving,1230,,88,3,2.0,1.0,A+,True,,False
24,Studio Bemuurde Weerd O.Z. 33 in Utrecht,3514 AP ,"€1,500 per month

Includes: Electricity, Gas, Internet, Water",17-10-2022,For rent,From 01-11-2022,Upholstered or furnished,55 m²,"Studio, Apartment",Existing building,1,1.0,1.0,,Present,Present,,https://www.pararius.com/studio-for-rent/utrecht/fc24df83/bemuurde-weerd-o-z,Good,150 m³,1820,1,No,Temporary rental,€3000,In the city centre,"Double glazing, Floor insulation, Fully insulated, Roof insulation, Wall insulation",Central heating boiler,Gas boiler,Not present,Public,No,No,,,,,,,,,,,Lauwerecht,1500,,55,1,1.0,1.0,,True,60,True
25,Apartment Auriollaan in Utrecht,3527 ES ,"€1,575 per month",2 weeks,Under option,From 01-11-2022,Upholstered,75 m²,"Mezzanine, Apartment",Existing building,4,3.0,1.0,Toilet,Present,Not present,B,https://www.pararius.com/apartment-for-rent/utrecht/44a0c9b1/auriollaan,Good,185 m³,2016,1,No,Temporary rental,€3150,"On a quiet road
 in a residential area",,,,Not present,Public,No,No,Working,€4725,,,,,,,,,Kanaleneiland-Noord,1575,,75,4,3.0,1.0,B,True,,False
26,Apartment Kromme Nieuwegracht in Utrecht,3512 HC ,"€1,695 per month",2 months,For rent,From 01-12-2022,Upholstered,100 m²,"Penthouse, Apartment",Existing building,3,2.0,1.0,Laundry room,Present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/36e48ff9/kromme-nieuwegracht,Good,250 m³,1900,1,No,Temporary rental,€3390,"On a waterway
 By the water
 In the city centre",,,,Not present,,No,No,Working,€5085,,,,,,,,,"Domplein, Neude, Janskerkhof",1695,,100,3,2.0,1.0,,True,,False
27,Apartment Nieuwegracht in Utrecht,3512 LV ,"€1,350 per month",20-10-2022,For rent,From 15-11-2022,Furnished,45 m²,"Downstairs apartment, Apartment",Existing building,2,1.0,1.0,,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/a15db453/nieuwegracht,Good,100 m³,1600,1,No,Temporary rental,€2700,"By the water
 In the city centre",,,,Not present,,,No,Working,€4050,1,,,,,,,,Nieuwegracht-Oost,1350,,45,2,1.0,1.0,,False,,False
28,Apartment Westerdijk 4 0116 in Utrecht,3513 EW ,€895 per month,14-10-2022,For rent,From 01-11-2022,Upholstered,28 m²,Gallery flat,Existing building,1,,1.0,Lift,Not present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/7e953747/westerdijk,,,,,,,,,,,,,,,,,,,,,,,,,,Pijlsweerd-Zuid,895,,28,1,,1.0,A,False,,False
29,Apartment Pieterskerkhof 23 L in Utrecht,3512 JS ,"€1,750 per month

Excludes: Service costs",21-10-2022,For rent,From 01-11-2022,Upholstered,63 m²,"Downstairs apartment, Apartment",Existing building,2,1.0,1.0,"Cable TV
 Mechanical ventilation
 Shower
 Toilet
 Laundry room",Not present,Not present,A+++,https://www.pararius.com/apartment-for-rent/utrecht/70eb0c4b/pieterskerkhof,Excellent,190 m³,2022,1,No,,,In the city centre,"Double glazing, Floor insulation, Fully insulated, Roof insulation, Wall insulation",District heating,Central heating,Present,Paid,,,,,,,Monumental building,€100,,,Box,,"Domplein, Neude, Janskerkhof",1750,100,63,2,1.0,1.0,A+++,False,,False
30,Apartment Koekoeksplein in Utrecht,3514 TT ,"€1,515 per month",13-10-2022,For rent,From 01-11-2022,Upholstered,45 m²,"Downstairs apartment, Apartment",Existing building,3,2.0,1.0,"Shower
 Toilet
 Laundry room",,Present,B,https://www.pararius.com/apartment-for-rent/utrecht/b686dd1f/koekoeksplein,Excellent,115 m³,1900,1,No,Temporary rental,€3030,in a residential area,,,,Not present,Paid,No,No,Working,,2,,,,,,,,Vogelenbuurt,1515,,45,3,2.0,1.0,B,False,10,True
31,Apartment Gruttersdijk 27 M in Utrecht,3514 BH ,"€1,400 per month",2 weeks,For rent,From 01-11-2022,Upholstered or furnished,51 m²,Apartment,Existing building,2,1.0,1.0,Toilet,Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/a03a96cc/gruttersdijk,,,,,No,Temporary rental,,,,,,Not present,,,,,,,"Minimum of 12, maximum of 24 months",,,,,,,Vogelenbuurt,1400,,51,2,1.0,1.0,,False,,False
32,Apartment Bloemstraat in Utrecht,3581 WE ,"€1,295 per month",3 weeks,Rented under option,From 01-11-2022,Upholstered,45 m²,Downstairs apartment,Existing building,2,1.0,1.0,,Not present,Present,D,https://www.pararius.com/apartment-for-rent/utrecht/dff215e0/bloemstraat,,,,,No,Unlimited period,,,,,,Not present,,,,,,,Minimum of 12 months,,,,,,,Oudwijk,1295,,45,2,1.0,1.0,D,False,12,True
33,Studio Vleutenseweg in Utrecht,3532 HH ,"€1,295 per month

Includes: Electricity, Gas, Internet, Service costs, Water",17-10-2022,For rent,Immediately,Upholstered,20 m²,Studio,Existing building,1,,,,,Not present,,https://www.pararius.com/studio-for-rent/utrecht/a02ba2e8/vleutenseweg,,,,1,No,,€2590,"In the city centre
 in a residential area",,,,Not present,,No,No,,,1,,,,,,,,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1295,,20,1,,,,False,,False
34,Studio Limapad in Utrecht,3584 SR ,€520 per month,3+ months,For rent,In consultation,Furnished,22 m²,Studio,Existing building,2,1.0,2.0,Shower,,Not present,,https://www.pararius.com/studio-for-rent/utrecht/48156611/limapad,,,2020,1,No,,,,,,,Not present,,,,,,,,,,,,,,Utrecht Science Park,520,,22,2,1.0,2.0,,False,,False
35,Apartment Wisselstraat in Utrecht,3551 WG ,"€1,600 per month",7 weeks,For rent,Immediately,,47 m²,Upstairs apartment,Existing building,2,1.0,,,Not present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/66348f0e/wisselstraat,Good,156 m³,2021-2030,1,No,,,,,,,,,,,,,,,,,,,,,2e Daalsebuurt en omgeving,1600,,47,2,1.0,,A,False,,False
36,Apartment Maliestraat 1 5 in Utrecht,3581 SH ,"€1,745 per month",15-10-2022,Rented under option,From 15-11-2022,Furnished,60 m²,"Upstairs apartment, Apartment",Existing building,2,1.0,1.0,"Mechanical ventilation
 Shower
 Toilet",Not present,Present,,https://www.pararius.com/apartment-for-rent/utrecht/f97bb17d/maliestraat,Good,180 m³,1906,1,,,€3490,"in a residential area
 Near public transportation",,,,,,,,,,,,,€150,,,,,Buiten Wittevrouwen,1745,150,60,2,1.0,1.0,,False,,True
37,Apartment Domplein in Utrecht,3512 JC ,€975 per month,09-10-2022,Under option,From 01-11-2022,Furnished,22 m²,Upstairs apartment,Existing building,1,1.0,,French balcony,Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/3303ef9a/domplein,Good,60 m³,1900,1,No,,,,,,Central heating,,,,,,,,,Monumental building,,,,,,"Domplein, Neude, Janskerkhof",975,,22,1,1.0,,,False,,False
38,Apartment Breedstraat in Utrecht,3512 TX ,"€1,400 per month",2 weeks,For rent,Immediately,,48 m²,Downstairs apartment,Existing building,2,1.0,,,Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/ab97c227/breedstraat,Good,300 m³,1993,1,No,,,,,,,,,,,,,,,,,,,,,Breedstraat en Plompetorengracht en omgeving,1400,,48,2,1.0,,,False,,False
39,Apartment Kromme Nieuwegracht in Utrecht,3512 HL ,"€1,650 per month",13-10-2022,Under option,From 01-11-2022,Upholstered,60 m²,"Upstairs apartment, Apartment",Existing building,2,1.0,,,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/df2a0d25/kromme-nieuwegracht,Good,150 m³,1450,1,No,Temporary rental,€3300,"On a quiet road
 On a waterway
 In the city centre
 Unobstructed view",,,,Not present,Public,No,No,Working,€4950,,,Monumental building,,,,,,Nieuwegracht-Oost,1650,,60,2,1.0,,,False,,False
40,House Bollenhofsestraat in Utrecht,3572 VH ,"€1,500 per month",14-10-2022,For rent,In consultation,,72 m²,"Corner house, Family home",Existing building,3,2.0,1.0,"Shower
 Toilet",Not present,Not present,,https://www.pararius.com/house-for-rent/utrecht/49579329/bollenhofsestraat,Good,200 m³,1906,3,No,,,"On a quiet road
 in a residential area",Fully insulated,Central heating boiler,Central heating boiler,,Public,,,,,,,,,64 m²,,,,Wittevrouwen,1500,,72,3,2.0,1.0,,False,,False
41,House Abstederdijk in Utrecht,3582 BE ,"€1,600 per month",2 weeks,Under option,In consultation,,87 m²,"Corner house, Family home",Existing building,4,2.0,2.0,"Shower
 Storage space
 Toilet",Not present,Present,,https://www.pararius.com/house-for-rent/utrecht/405afd42/abstederdijk,Reasonable,260 m³,Before 1906,3,No,,,"On a quiet road
 in a residential area","Double glazing, Roof insulation",Central heating boiler,Central heating boiler,Present,Public,,,,,,,,,89 m²,achtertuin,Aangebouwd hout,,"Abstede, Tolsteegsingel e.o.",1600,,87,4,2.0,2.0,,False,45,True
42,House Korenbloemstraat in Utrecht,3551 GM ,"€1,750 per month",21-10-2022,For rent,From 01-12-2022,Upholstered,85 m²,"Corner house, Family home",Existing building,4,2.0,2.0,"Roof terrace
 Shower
 Storage space",,Present,F,https://www.pararius.com/house-for-rent/utrecht/1f1f3263/korenbloemstraat,Good,212 m³,1906,2,No,Unlimited period,€1750,"At a park
 in a residential area",,,,Not present,Paid,No,No,Working,€5250,2,,,,,,,,"Egelantierstraat, Mariëndaalstraat e.o.",1750,,85,4,2.0,2.0,F,False,16,True
43,Apartment Hebe Kohlbruggeweg in Utrecht,3527 MD ,"€1,500 per month",19-10-2022,For rent,Immediately,Upholstered,67 m²,"Upstairs apartment, Apartment",Existing building,2,1.0,1.0,,Not present,,A++,https://www.pararius.com/apartment-for-rent/utrecht/5baa9b49/hebe-kohlbruggeweg,,200 m³,2022,1,,,€3000,,,,,,,,,,,,,,,,,,,Transwijk-Noord,1500,,67,2,1.0,1.0,A++,False,,False
44,Apartment Twellosebeeklaan in Utrecht,3521 DR ,"€1,525 per month

Excludes: Service costs",7 weeks,For rent,Immediately,,80 m²,Gallery flat,New development,3,2.0,,,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/d176be81/twellosebeeklaan,Excellent,230 m³,2021,1,Yes,,,,,,,,,,,,,,,,,,,Parkeerkelder,,Dichterswijk,1525,,80,3,2.0,,,False,,False
45,House Piet Heinstraat 9 in Utrecht,3582 BX ,"€1,675 per month",15-10-2022,For rent,In consultation,Upholstered,70 m²,"Mid-terrace house, Family home",Existing building,2,1.0,,Cable TV,Not present,Present,C,https://www.pararius.com/house-for-rent/utrecht/bd31e1fb/piet-heinstraat,Good,271 m³,1906,2,No,,,"On a quiet road
 in a residential area
 Unobstructed view",Double glazing,Central heating boiler,Central heating boiler,,Public,,,,,,,Monumental building,,93 m²,achtertuin,,,"Abstede, Tolsteegsingel e.o.",1675,,70,2,1.0,,C,False,50,True
46,Apartment Twellosebeeklaan in Utrecht,3521 DR ,"€1,500 per month

Excludes: Service costs",7 weeks,For rent,Immediately,,81 m²,"Gallery flat, Apartment",New development,3,2.0,,,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/90eb4902/twellosebeeklaan,Excellent,230 m³,2021,1,Yes,,,,,,,,,,,,,,,,,,,Parkeerkelder,,Dichterswijk,1500,,81,3,2.0,,,False,,False
47,Apartment Obrechtstraat 4 in Utrecht,3572 EE ,"€1,495 per month",13-10-2022,Under option,From 01-11-2022,Shell,70 m²,"Downstairs apartment, Apartment",Existing building,2,1.0,1.0,"Mechanical ventilation
 Shower
 Toilet",Not present,Present,B,https://www.pararius.com/apartment-for-rent/utrecht/5bb3b77a/obrechtstraat,Excellent,196 m³,1928,1,Yes,,€2990,"in a residential area
 Near public transportation",,,,,Paid,,,,,,,,,,achtertuin,,,Wittevrouwen,1495,,70,2,1.0,1.0,B,False,,True
48,Apartment Adriaan van Bergenstraat in Utrecht,3554 VE ,"€1,600 per month

Includes: Service costs",19-10-2022,For rent,From 15-11-2022,Upholstered,81 m²,"Gallery flat, Apartment",Existing building,3,2.0,1.0,,Present,,A,https://www.pararius.com/apartment-for-rent/utrecht/558fd8b4/adriaan-van-bergenstraat,,,2002,,Yes,,,,,,,,,,,,,,,,,,,,,Schaakbuurt en omgeving,1600,,81,3,2.0,1.0,A,True,,False
49,Apartment Wijde Begijnestraat in Utrecht,3512 AW ,"€1,400 per month

Includes: Service costs",11-10-2022,For rent,Immediately,Upholstered,60 m²,"Upstairs apartment, Apartment",Existing building,2,1.0,1.0,"Shower
 Toilet",,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/f2a2f833/wijde-begijnestraat,Good,,,1,No,,€2800,In the city centre,,,,Not present,,No,No,,,2,,Monumental building,,,,,,Breedstraat en Plompetorengracht en omgeving,1400,,60,2,1.0,1.0,,False,,False
50,House Singelstraat in Utrecht,3513 BM ,"€1,695 per month

Includes: Service costs",14-10-2022,For rent,Immediately,Furnished,70 m²,"Mid-terrace house, Family home",Existing building,2,1.0,1.0,,,,D,https://www.pararius.com/house-for-rent/utrecht/96db807c/singelstraat,,,1910,,No,,,,,,,,,,,,,,,,,,,,,Pijlsweerd-Zuid,1695,,70,2,1.0,1.0,D,False,,False
51,Apartment Tafelbergdreef 192 in Utrecht,3564 AG ,"€1,325 per month",21-10-2022,For rent,From 18-11-2022,Upholstered,84 m²,Gallery flat,Existing building,4,3.0,1.0,Lift,Present,Not present,F,https://www.pararius.com/apartment-for-rent/utrecht/43bba35a/tafelbergdreef,,,1967,,Yes,,,,,,,,,,,,,,Minimum of 12 months,,,,,,,Zambesidreef en omgeving,1325,,84,4,3.0,1.0,F,True,,False
52,Apartment Weerdsingel O.Z. in Utrecht,3514 AG ,"€1,500 per month",21-10-2022,For rent,From 01-11-2022,Furnished,75 m²,Gallery flat,Existing building,2,1.0,1.0,,,,,https://www.pararius.com/apartment-for-rent/utrecht/c19da239/weerdsingel-o-z,,,1880,,,,,,,,,,,,,,,,,,,,,,,Vogelenbuurt,1500,,75,2,1.0,1.0,,False,,False
53,Apartment Zadelstraat 5 in Utrecht,3511 LR ,"€1,350 per month",2 weeks,Rented under option,From 01-11-2022,Shell,62 m²,Apartment,Existing building,2,1.0,1.0,Shower,Not present,Not present,F,https://www.pararius.com/apartment-for-rent/utrecht/689f51e3/zadelstraat,,,,,No,,,,,,,Not present,,,,,,,,,,,,,,"Lange Elisabethstraat, Mariaplaats en omgeving",1350,,62,2,1.0,1.0,F,False,,False
54,Apartment Hekelsteeg 10 A in Utrecht,3511 AK ,"€1,325 per month",20-10-2022,For rent,Immediately,,51 m²,"Mezzanine, Apartment",Existing building,2,1.0,1.0,,Not present,Present,D,https://www.pararius.com/apartment-for-rent/utrecht/cfa3e7bc/hekelsteeg,Excellent,153 m³,1913,1,,,€1350,In the city centre,,,,,,,,,,,,,,,,,,"Lange Elisabethstraat, Mariaplaats en omgeving",1325,,51,2,1.0,1.0,D,False,,True
55,Apartment Smakkelaarsveld 23 in Utrecht,3511 EA ,"€1,450 per month",18-10-2022,Under option,Immediately,,50 m²,"Mezzanine, Apartment",Existing building,2,1.0,1.0,"Shower
 Storage space
 Toilet",Present,,C,https://www.pararius.com/apartment-for-rent/utrecht/2f0b764d/smakkelaarsveld,,150 m³,1975,1,,,€1450,,,,,,,,,,,,,,,,,,,Hoog-Catharijne NS en Jaarbeurs,1450,,50,2,1.0,1.0,C,True,,False
56,Apartment Van Weerden Poelmanlaan 2 in Utrecht,3527 KN ,"€1,350 per month",3 weeks,For rent,From 29-10-2022,Upholstered,92 m²,Gallery flat,Existing building,3,2.0,1.0,Lift,Present,Not present,G,https://www.pararius.com/apartment-for-rent/utrecht/143bfcc8/van-weerden-poelmanlaan,,,1968,,Yes,,,,,,,,,,,,,,Minimum of 12 months,,,,,,,Transwijk-Noord,1350,,92,3,2.0,1.0,G,True,,False
